name,repository url
OpenCulturas,https://github.com/openculturas/openculturas-distribution.git
ready2race - Software für Sportturniere und Rennen,https://github.com/lambda9-gmbh/ready2race
ozgxplanung,https://gitlab.opencode.de/diplanung/ozgxplanung
KERN UX-Standard,https://gitlab.opencode.de/kern-ux/kern-ux-plain
OCM Open Playground Manager,https://gitlab.opencode.de/open-playground-manager/ocm-open-playground-manager
BoVis,https://gitlab.opencode.de/oc000047244955/bovis.net
Document Writing CI Components,https://gitlab.opencode.de/open-code/document-writing-tools/document-writing-ci-components
UDP-Kundenportal,https://gitlab.opencode.de/lgvhh/udp/kundenportal
Smart Village App,https://github.com/ikuseiGmbH/smart-village-app-app
Badge API,https://gitlab.opencode.de/open-code/badgebackend/badge-api
Governikus ID Panstar SDK,https://gitlab.opencode.de/governikus/id-panstar-sdk
Klimadashboard Münster,https://gitlab.opencode.de/smart-city-muenster/klimadashboard-muenster/klimadashboard-muenster
DEUTSCHLAND.DIGITAL-Plattform,https://gitlab.opencode.de/DEUTSCHLAND.DIGITAL/plattform/plattform
Government Site Builder 11 (GSB 11),https://gitlab.opencode.de/bmi/government-site-builder-11/gsb11
PILOS,https://github.com/THM-Health/PILOS
FROST-Server,https://gitlab.opencode.de/fraunhoferiosb/frost-server/
Masterportal,https://gitlab.opencode.de/geowerkstatt-hamburg/masterportal
MACH E-Verwaltung Open Code Edition,https://gitlab.opencode.de/sh/digitalhub-sh/landesprogramm-offene-innovationen/mach-e-verwaltung/mach-everwaltung
CIVORA UI,https://gitlab.opencode.de/civora/civora-ui
BundID Keycloak Adapter MHKBD NRW,https://gitlab.opencode.de/OC000073187576/keycloak-adapter-mhkbd-nrw
Frequenzdaten4ALL,https://gitlab.opencode.de/connected-urban-twins/frequenzdaten-dashboard
Foodsoft,https://github.com/foodcoops/foodsoft
Dokumentation zur EfA-Parametrisierung,https://gitlab.opencode.de/fitko/docs/efa-parametrisierung
EDIParse,https://github.com/h2nguyen/EDIParse
GA-Lotse,https://gitlab.opencode.de/ga-lotse/ga-lotse-code
UmweltNAVI,https://gitlab.opencode.de/umweltnavi/app
BuMAP UI,https://gitlab.opencode.de/bwi/bundesmessenger/admin-portal/bumap-ui
Learning Portal Apps,https://gitlab.opencode.de/bwi/bundesmessenger/info
BuMAP Core,https://gitlab.opencode.de/bwi/bundesmessenger/admin-portal/bumap-core
FIS Wasser und Boden,https://gitlab.opencode.de/fis-wasser-und-boden/fis-wasser-und-boden-enda
App Config,https://gitlab.opencode.de/bwi/bundesmessenger/info
Cosinnus,https://github.com/wechange-eg/cosinnus-core
BvC - Cosign Admissioncontroller Tests,https://github.com/sigstore/cosign/releases/tag/v1.5.1
GSB 11 Extension gsb_public_frontend,https://gitlab.opencode.de/bmi/government-site-builder-11/extensions/gsb_public_frontend
Urban Data Space Platform,https://gitlab.opencode.de/urbandataspaceplatform/core-platform
masterportalapi,https://gitlab.opencode.de/geowerkstatt-hamburg/masterportalapi
Open Smart City App,https://gitlab.opencode.de/smart-city-dos/open-smart-city-app
Evaluation Bundesbot,https://gitlab.opencode.de/uba-ki-lab/evaluation-bundesbot
Objection management,https://gitlab.opencode.de/uba-ki-lab/objection-management
ubair,https://gitlab.opencode.de/uba-ki-lab/ubair
KlimaCube - Wolfsburg,https://gitlab.opencode.de/stadt-wolfsburg/klimacube-wolfsburg
AppFramework,https://gitlab.opencode.de/awv-ostthueringen/AppFramework
fish_monitoring,https://gitlab.opencode.de/uba-ki-lab/fish_monitoring
strahlenexposition_uba,https://gitlab.opencode.de/uba-ki-lab/strahlenexposition
GovStack,https://gitlab.opencode.de/govstack/govstack
ckanext-partialview,https://github.com/ondics/ckanext-partialview
CIVITAS/CORE,https://gitlab.com/civitas-connect/civitas-core/civitas-core
LLM Testframework,https://gitlab.opencode.de/uba-ki-lab/llm-testframework
Conword-Integration,https://gitlab.opencode.de/smart-city-ulm/smart-city-beteiligungsplattform/conword-integration
smart_city_sicherheitskonzept,https://gitlab.opencode.de/stadtosnabrueck/smart_city_sicherheitskonzept
HH-UDP-IoT,https://gitlab.opencode.de/lgvhh/udp/hh-udp-iot
Tremonia DXP,https://gitlab.opencode.de/materna-se/tremonia-dxp
Sitzungsgeld2CSV,https://gitlab.opencode.de/thomas-vogt/sitzungsgeld2csv
Data Narrator (Masterportal AddOn),https://github.com/citysciencelab/cut-data-narrator
Data provider,https://gitlab.opencode.de/opencode-analyzer/tool-service
Learning Portal Backend,https://gitlab.opencode.de/bwi/bundesmessenger/info
IT-Architekturrichtlinien auf openCode,https://gitlab.opencode.de/it-architekturrichtlinien/nationale-it-architekturrichtlinie/-/tree/main/dokument
DorfFunk,https://gitlab.opencode.de/fraunhofer-iese/digitale-doerfer/dorffunk
QS-Baukasten,https://gitlab.opencode.de/bva/softwaretest/qs-baukasten
GeospatialAnalyzer,https://github.com/geobakery/GeospatialAnalyzer
compound-web,https://github.com/element-hq/compound-web
Digitale Hochwassermelder,https://gitlab.opencode.de/eifelkreis-verbindet/digitale-hochwassermelder
data-stories,https://gitlab.opencode.de/umwelt-info/data-stories
IG-BvC,https://gitlab.opencode.de/ig-bvc/igbvc-info
BundesMessenger Android,https://gitlab.opencode.de/bwi/bundesmessenger/clients/bundesmessenger-android
BundesMessenger iOS,https://gitlab.opencode.de/bwi/bundesmessenger/clients/bundesmessenger-ios
Heldenhelfer,https://gitlab.opencode.de/wuerzburg/heldenhelfer
BundesMessenger iOS - Matrix SDK,https://gitlab.opencode.de/bwi/bundesmessenger/clients/bundesmessenger-ios-matrix-sdk
PhenoApp,https://gitlab.opencode.de/julius-kuehn-institut/PhenoApp
E-Gesetzgebung,https://gitlab.opencode.de/bmi/e-gesetzgebung
Synapse mit MLS,https://gitlab.opencode.de/bwi/bundesmessenger/info
MLS Test Client,https://gitlab.opencode.de/bwi/bundesmessenger/info
GeoLoadReplay,https://gitlab.opencode.de/oc000061838485/GeoLoadReplay
Platform Engineering,https://gitlab.opencode.de/ig-bvc/platform-engineering/docs
compound-design-tokens,https://gitlab.opencode.de/bwi/bundesmessenger/ui-components/compound-design-tokens
DCAT Catalog Check,https://gitlab.opencode.de/sh/zit/opendata/dcat-catalog-check
